date,code,name
2018-12-03,600000,浦发银行
2018-12-03,600016,民生银行
2018-12-03,600019,宝钢股份
2018-12-03,600028,中国石化
2018-12-03,600029,南方航空
2018-12-03,600030,中信证券
2018-12-03,600036,招商银行
2018-12-03,600048,保利地产
2018-12-03,600050,中国联通
2018-12-03,600104,上汽集团
2018-12-03,600111,北方稀土
2018-12-03,600276,恒瑞医药
2018-12-03,600309,万华化学
2018-12-03,600340,华夏幸福
2018-12-03,600519,贵州茅台
2018-12-03,600547,山东黄金
2018-12-03,600585,海螺水泥
2018-12-03,600606,绿地控股
2018-12-03,600690,青岛海尔
2018-12-03,600703,三安光电
2018-12-03,600887,伊利股份
2018-12-03,600958,东方证券
2018-12-03,600999,招商证券
2018-12-03,601006,大秦铁路
2018-12-03,601088,中国神华
2018-12-03,601166,兴业银行
2018-12-03,601169,北京银行
2018-12-03,601186,中国铁建
2018-12-03,601211,国泰君安
2018-12-03,601229,上海银行
2018-12-03,601288,农业银行
2018-12-03,601318,中国平安
2018-12-03,601328,交通银行
2018-12-03,601336,新华保险
2018-12-03,601360,三六零
2018-12-03,601390,中国中铁
2018-12-03,601398,工商银行
2018-12-03,601601,中国太保
2018-12-03,601628,中国人寿
2018-12-03,601668,中国建筑
2018-12-03,601688,华泰证券
2018-12-03,601766,中国中车
2018-12-03,601800,中国交建
2018-12-03,601818,光大银行
2018-12-03,601857,中国石油
2018-12-03,601878,浙商证券
2018-12-03,601881,中国银河
2018-12-03,601988,中国银行
2018-12-03,601989,中国重工
2018-12-03,603993,洛阳钼业
