code,name,bamount,bcount,samount,scount,net
603444,吉比特,13390.85,4,0.0,0,13390.85
002252,上海莱士,5708.85,10,663.18,3,5045.67
300274,阳光电源,4548.16,3,0.0,0,4548.16
603711,香飘飘,3917.45,4,0.0,0,3917.45
000976,华铁股份,2321.25,2,0.0,0,2321.25
000603,盛达矿业,1884.48,2,0.0,0,1884.48
000503,国新健康,1502.37,1,183.41,0,1318.96
000856,冀东装备,924.51,1,0.0,0,924.51
600165,新日恒力,667.95,1,0.0,0,667.95
000892,欢瑞世纪,460.79,2,0.0,0,460.79
000554,泰山石油,363.1,1,0.0,0,363.1
002020,京新药业,1010.6,1,693.62,1,316.98
000739,普洛药业,752.64,1,507.03,1,245.61
002865,钧达股份,229.04,1,0.0,0,229.04
000662,天夏智慧,129.82,1,0.0,0,129.82
002147,ST新光,51.69,1,0.0,0,51.69
002942,新农股份,0.0,0,11.88,3,-11.88
002941,新疆交建,0.0,0,13.14,3,-13.14
300655,晶瑞股份,0.0,0,126.72,1,-126.72
000572,海马汽车,0.0,0,197.63,1,-197.63
002943,宇晶股份,0.0,0,250.39,1,-250.39
002243,通产丽星,0.0,0,271.28,4,-271.28
000796,凯撒旅游,0.0,0,282.26,1,-282.26
002017,东信和平,0.0,0,305.85,2,-305.85
000985,大庆华科,0.0,0,366.34,2,-366.34
002902,铭普光磁,0.0,0,446.72,1,-446.72
300630,普利制药,1996.88,4,2490.27,4,-493.39
000806,银河生物,0.0,0,669.48,1,-669.48
002518,科士达,0.0,0,940.34,1,-940.34
600781,辅仁药业,0.0,0,1013.38,1,-1013.38
300325,德威新材,0.0,0,1017.5,1,-1017.5
300302,同有科技,0.0,0,1336.11,2,-1336.11
002653,海思科,0.0,0,1405.06,2,-1405.06
300362,天翔环境,0.0,0,1546.99,4,-1546.99
300529,健帆生物,1151.42,2,3394.85,4,-2243.43
600157,永泰能源,0.0,0,2274.56,2,-2274.56
002089,新海宜,0.0,0,2422.57,1,-2422.57
600521,华海药业,0.0,0,2493.89,1,-2493.89
002768,国恩股份,0.0,0,2713.93,5,-2713.93
002235,安妮股份,0.0,0,2839.42,2,-2839.42
300319,麦捷科技,0.0,0,3045.94,2,-3045.94
601811,新华文轩,0.0,0,3604.56,4,-3604.56
002010,传化智联,0.0,0,3736.6,2,-3736.6
600745,闻泰科技,3637.93,2,7738.53,2,-4100.6
300144,宋城演艺,4580.19,2,9065.0,4,-4484.81
603658,安图生物,904.23,2,7175.98,4,-6271.75
002463,沪电股份,1917.18,2,9858.55,3,-7941.37
300213,佳讯飞鸿,0.0,0,8317.98,4,-8317.98
000513,丽珠集团,947.17,1,10804.98,4,-9857.82
002262,恩华药业,215.62,0,11073.28,4,-10857.66
000963,华东医药,6790.17,3,64279.52,9,-57489.34
300003,乐普医疗,14100.36,5,84709.25,13,-70608.89
