code,name,bamount,bcount,samount,scount,net
300274,阳光电源,4548.16,3,0.0,0,4548.16
000976,华铁股份,2321.25,2,0.0,0,2321.25
000503,国新健康,1502.37,1,183.41,0,1318.96
002252,上海莱士,1300.7,3,0.0,0,1300.7
000856,冀东装备,924.51,1,0.0,0,924.51
000981,银亿股份,512.63,1,0.0,0,512.63
002020,京新药业,1010.6,1,693.62,1,316.98
000739,普洛药业,752.64,1,507.03,1,245.61
002865,钧达股份,229.04,1,0.0,0,229.04
002147,ST新光,51.69,1,0.0,0,51.69
002941,新疆交建,0.0,0,13.14,3,-13.14
600077,宋都股份,101.03,1,168.19,1,-67.16
600735,新华锦,0.0,0,186.41,1,-186.41
002943,宇晶股份,29.88,1,258.41,3,-228.53
300670,大烨智能,26.0,0,262.68,1,-236.68
000796,凯撒旅游,0.0,0,282.26,1,-282.26
300630,普利制药,1996.88,4,2490.27,4,-493.39
000806,银河生物,0.0,0,669.48,1,-669.48
002518,科士达,0.0,0,940.34,1,-940.34
600781,辅仁药业,0.0,0,1013.38,1,-1013.38
300325,德威新材,0.0,0,1017.5,1,-1017.5
603101,汇嘉时代,0.0,0,1019.75,1,-1019.75
300302,同有科技,0.0,0,1336.11,2,-1336.11
002653,海思科,0.0,0,1405.06,2,-1405.06
300529,健帆生物,1151.42,2,3394.85,4,-2243.43
600521,华海药业,0.0,0,2493.89,1,-2493.89
002235,安妮股份,0.0,0,2839.42,2,-2839.42
601811,新华文轩,0.0,0,3604.56,4,-3604.56
603658,安图生物,904.23,2,7175.98,4,-6271.75
002463,沪电股份,1917.18,2,9858.55,3,-7941.37
300213,佳讯飞鸿,0.0,0,8317.98,4,-8317.98
000513,丽珠集团,947.17,1,10804.98,4,-9857.82
002262,恩华药业,215.62,0,11073.28,4,-10857.66
300003,乐普医疗,6556.27,3,18209.16,6,-11652.89
600745,闻泰科技,29782.43,4,43033.13,4,-13250.7
000963,华东医药,2782.51,2,30444.81,6,-27662.31
300324,旋极信息,11770.01,2,51089.99,5,-39319.98
